time,field.model_name,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z,field.reference_frame
138974000000,human_drone,-0.7100000000000009,0.10999999999999946,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
139144000000,human_drone,-0.7100000000000009,0.09999999999999946,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
139456000000,human_drone,-0.7100000000000009,0.08999999999999947,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
139988000000,human_drone,-0.7100000000000009,0.05999999999999948,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
140132000000,human_drone,-0.7100000000000009,0.049999999999999475,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
140340000000,human_drone,-0.7100000000000009,0.039999999999999473,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
140674000000,human_drone,-0.7100000000000009,0.01999999999999947,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
140842000000,human_drone,-0.7100000000000009,0.00999999999999947,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
141042000000,human_drone,-0.7100000000000009,-5.30825383648903e-16,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
141538000000,human_drone,-0.7100000000000009,-0.030000000000000533,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
141900000000,human_drone,-0.7100000000000009,-0.05000000000000054,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
142262000000,human_drone,-0.7100000000000009,-0.07000000000000053,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
142320000000,human_drone,-0.7100000000000009,-0.08000000000000053,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
142574000000,human_drone,-0.7100000000000009,-0.09000000000000052,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
142592000000,human_drone,-0.7100000000000009,-0.10000000000000052,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
142912000000,human_drone,-0.7100000000000009,-0.11000000000000051,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
143082000000,human_drone,-0.7100000000000009,-0.12000000000000051,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
143266000000,human_drone,-0.7100000000000009,-0.1300000000000005,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
143440000000,human_drone,-0.7100000000000009,-0.1400000000000005,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
143480000000,human_drone,-0.7100000000000009,-0.15000000000000052,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
143932000000,human_drone,-0.7100000000000009,-0.17000000000000054,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
144148000000,human_drone,-0.7100000000000009,-0.18000000000000055,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
144316000000,human_drone,-0.7100000000000009,-0.19000000000000056,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
144354000000,human_drone,-0.7100000000000009,-0.20000000000000057,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
144702000000,human_drone,-0.7100000000000009,-0.21000000000000058,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
144894000000,human_drone,-0.7100000000000009,-0.22000000000000058,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
145050000000,human_drone,-0.7100000000000009,-0.2300000000000006,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
145224000000,human_drone,-0.7100000000000009,-0.2400000000000006,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,
