,upper_arm_link_x,upper_arm_link_y,upper_arm_link_z,shoulder_link_x,shoulder_link_y,shoulder_link_z,forearm_link_x,forearm_link_y,forearm_link_z,wrist_1_link_x,wrist_1_link_y,wrist_1_link_z,wrist_2_link_x,wrist_2_link_y,wrist_2_link_z,wrist_3_link_x,wrist_3_link_y,wrist_3_link_z,distance
718,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.15297747871201015,0.09653052079319088,0.47374286544720234,0.23693439570922314,-0.02044445503247829,0.4814480725115545,0.31698042060053144,-0.07095440284496748,0.4814084356641763,0.3208936759871605,-0.06468851865122482,0.3994406668306303,2.9528624274052868e-05
719,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.14550017081993075,0.07486243864915376,0.4813965754193785,0.25304691612199254,-0.0074469022123077565,0.4687800427317151,0.3372099935155312,-0.05075030988501314,0.4686626222024765,0.34044041143043047,-0.04424948295416057,0.3866833952647322,2.9528624273164737e-05
720,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.13306403072263714,0.05560588494938258,0.48894262808754574,0.2697140103927412,0.005586881883729024,0.4566667248844319,0.3570449886005852,-0.030907701178398667,0.45640566477157507,0.35958514333159874,-0.024242640667022863,0.3744153325224482,2.9528624274034887e-05
721,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.11537890799564304,0.03857710377758851,0.4963745628826902,0.2879407328185724,0.01881599390297968,0.4442540211547295,0.3777050245219889,-0.011196826041230266,0.44377960152991697,0.37953365686678997,-0.004431423592615452,0.3617785318207002,2.9528624273123375e-05
722,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.09102893159899132,0.02235784948302626,0.5036935102382196,0.3090263427369147,0.036493304774115484,0.429331212131338,0.4009414647288765,0.013917795862834002,0.42857012961318086,0.40193030901263677,0.02070872577697816,0.346556743767432,2.95286242740552e-05
723,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.07610110706796971,0.015574710583757128,0.5069999385080183,0.32076442506457786,0.045765375534390265,0.42120915721428953,0.4134877691461221,0.026788789023628655,0.4202641033877126,0.41403341836141744,0.03353966220720782,0.3382432647051371,2.9528624273168078e-05
724,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.06228247398037951,0.01104407111393979,0.5094254891805123,0.3314770655633265,0.05207445825931038,0.41432702784159403,0.42466658661931483,0.035549878792138556,0.41319833887264223,0.4248577051092819,0.042230505487102145,0.33117015651630005,2.9528624273157964e-05
725,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.04801479261231039,0.007407300961847212,0.5113730589592647,0.34247591005873124,0.05760704815699165,0.4075906832444073,0.4360101088394187,0.043177412712166796,0.40626336286699877,0.4358631545227561,0.04977091969093317,0.3242280407785852,2.95286242740552e-05
726,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.031567198594735835,0.0038168131198016942,0.5129678530345831,0.35454085117371137,0.06707716596064399,0.4003069163153356,0.44849378738756956,0.05571724781935353,0.3987511089307653,0.4479227860374253,0.06223058567458318,0.31671123821267017,2.952862427320034e-05
727,0.0,0.0,0.089159,0.0,0.0,0.089159,-0.025776822511401055,0.002512523700685571,0.5133691397254305,0.3580374386660746,0.07476858508213187,0.3983062894633708,0.45222702394928843,0.06558771891623415,0.39667649787544534,0.4514429560030093,0.07210706161944738,0.3146388637788085,2.9528624273177696e-05
